* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
0.000103 1s 0s 1s 0s 1s 1s 1s 0s
0.000104 1s 0s 1s 1s 1s 1s 0s 1s
0.000105 1s 1s 0s 0s 1s 0s 1s 0s
0.000106 1s 1s 0s 1s 0s 1s 1s 1s
0.000107 1s 1s 1s 0s 0s 0s 1s 0s
0.000108 1s 1s 1s 0s 1s 0s 1s 1s
0.000109 1s 1s 1s 1s 0s 0s 1s 1s
0.00011 1s 1s 1s 1s 1s 0s 0s 1s
0.000111 1s 1s 1s 1s 1s 1s 0s 1s
0.000112 1s 1s 1s 1s 1s 1s 1s 1s
0.000113 1s 1s 1s 1s 1s 1s 1s 1s
0.000114 1s 1s 1s 1s 1s 1s 0s 1s
0.000115 1s 1s 1s 1s 1s 0s 0s 1s
0.000116 1s 1s 1s 1s 0s 0s 1s 1s
0.000117 1s 1s 1s 0s 1s 0s 1s 1s
0.000118 1s 1s 1s 0s 0s 0s 1s 0s
0.000119 1s 1s 0s 1s 0s 1s 1s 1s
0.00012 1s 1s 0s 0s 1s 0s 1s 0s
0.000121 1s 0s 1s 1s 1s 1s 0s 1s
0.000122 1s 0s 1s 0s 1s 1s 1s 0s
0.000123 1s 0s 0s 1s 1s 1s 1s 1s
0.000124 1s 0s 0s 0s 1s 1s 1s 1s
0.000125 1s 0s 0s 0s 0s 0s 0s 0s
0.000126 0s 1s 1s 1s 0s 0s 0s 0s
0.000127 0s 1s 1s 0s 0s 0s 0s 0s
0.000128 0s 1s 0s 1s 0s 0s 0s 1s
0.000129 0s 1s 0s 0s 0s 0s 1s 0s
0.00013 0s 0s 1s 1s 0s 1s 0s 1s
0.000131 0s 0s 1s 0s 1s 0s 0s 0s
0.000132 0s 0s 0s 1s 1s 1s 0s 1s
0.000133 0s 0s 0s 1s 0s 1s 0s 0s
0.000134 0s 0s 0s 0s 1s 1s 0s 0s
0.000135 0s 0s 0s 0s 0s 1s 1s 0s
0.000136 0s 0s 0s 0s 0s 0s 1s 0s
0.000137 0s 0s 0s 0s 0s 0s 0s 0s
0.000138 0s 0s 0s 0s 0s 0s 0s 0s
0.000139 0s 0s 0s 0s 0s 0s 1s 0s
0.00014 0s 0s 0s 0s 0s 1s 1s 0s
0.000141 0s 0s 0s 0s 1s 1s 0s 0s
0.000142 0s 0s 0s 1s 0s 1s 0s 0s
0.000143 0s 0s 0s 1s 1s 1s 0s 1s
0.000144 0s 0s 1s 0s 1s 0s 0s 0s
0.000145 0s 0s 1s 1s 0s 1s 0s 1s
0.000146 0s 1s 0s 0s 0s 0s 1s 0s
0.000147 0s 1s 0s 1s 0s 0s 0s 1s
0.000148 0s 1s 1s 0s 0s 0s 0s 0s
0.000149 0s 1s 1s 1s 0s 0s 0s 0s
0.00015 0s 1s 1s 1s 1s 1s 1s 1s
0.000151 1s 0s 0s 0s 1s 1s 1s 1s
0.000152 1s 0s 0s 1s 1s 1s 1s 1s
0.000153 1s 0s 1s 0s 1s 1s 1s 0s
0.000154 1s 0s 1s 1s 1s 1s 0s 1s
0.000155 1s 1s 0s 0s 1s 0s 1s 0s
0.000156 1s 1s 0s 1s 0s 1s 1s 1s
0.000157 1s 1s 1s 0s 0s 0s 1s 0s
0.000158 1s 1s 1s 0s 1s 0s 1s 1s
0.000159 1s 1s 1s 1s 0s 0s 1s 1s
0.00016 1s 1s 1s 1s 1s 0s 0s 1s
0.000161 1s 1s 1s 1s 1s 1s 0s 1s
0.000162 1s 1s 1s 1s 1s 1s 1s 1s
0.000163 1s 1s 1s 1s 1s 1s 1s 1s
0.000164 1s 1s 1s 1s 1s 1s 0s 1s
0.000165 1s 1s 1s 1s 1s 0s 0s 1s
0.000166 1s 1s 1s 1s 0s 0s 1s 1s
0.000167 1s 1s 1s 0s 1s 0s 1s 1s
0.000168 1s 1s 1s 0s 0s 0s 1s 0s
0.000169 1s 1s 0s 1s 0s 1s 1s 1s
0.00017 1s 1s 0s 0s 1s 0s 1s 0s
0.000171 1s 0s 1s 1s 1s 1s 0s 1s
0.000172 1s 0s 1s 0s 1s 1s 1s 0s
0.000173 1s 0s 0s 1s 1s 1s 1s 1s
0.000174 1s 0s 0s 0s 1s 1s 1s 1s
0.000175 1s 0s 0s 0s 0s 0s 0s 0s
0.000176 0s 1s 1s 1s 0s 0s 0s 0s
0.000177 0s 1s 1s 0s 0s 0s 0s 0s
0.000178 0s 1s 0s 1s 0s 0s 0s 1s
0.000179 0s 1s 0s 0s 0s 0s 1s 0s
0.00018 0s 0s 1s 1s 0s 1s 0s 1s
0.000181 0s 0s 1s 0s 1s 0s 0s 0s
0.000182 0s 0s 0s 1s 1s 1s 0s 1s
0.000183 0s 0s 0s 1s 0s 1s 0s 0s
0.000184 0s 0s 0s 0s 1s 1s 0s 0s
0.000185 0s 0s 0s 0s 0s 1s 1s 0s
0.000186 0s 0s 0s 0s 0s 0s 1s 0s
0.000187 0s 0s 0s 0s 0s 0s 0s 0s
0.000188 0s 0s 0s 0s 0s 0s 0s 0s
0.000189 0s 0s 0s 0s 0s 0s 1s 0s
0.00019 0s 0s 0s 0s 0s 1s 1s 0s
0.000191 0s 0s 0s 0s 1s 1s 0s 0s
0.000192 0s 0s 0s 1s 0s 1s 0s 0s
0.000193 0s 0s 0s 1s 1s 1s 0s 1s
0.000194 0s 0s 1s 0s 1s 0s 0s 0s
0.000195 0s 0s 1s 1s 0s 1s 0s 1s
0.000196 0s 1s 0s 0s 0s 0s 1s 0s
0.000197 0s 1s 0s 1s 0s 0s 0s 1s
0.000198 0s 1s 1s 0s 0s 0s 0s 0s
0.000199 0s 1s 1s 1s 0s 0s 0s 0s
0.0002 0s 1s 1s 1s 1s 1s 1s 1s
0.000201 1s 0s 0s 0s 1s 1s 1s 1s
