* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
0 1s 0s 0s 0s 0s 0s 0s 0s
9.76562e-10 1s 0s 0s 0s 0s 0s 0s 0s
1.95312e-09 1s 0s 0s 0s 0s 0s 0s 1s
2.92969e-09 1s 0s 0s 0s 0s 0s 1s 0s
3.90625e-09 1s 0s 0s 0s 0s 0s 1s 1s
4.88281e-09 1s 0s 0s 0s 0s 0s 1s 1s
5.85938e-09 1s 0s 0s 0s 0s 1s 0s 0s
6.83594e-09 1s 0s 0s 0s 0s 1s 0s 1s
7.8125e-09 1s 0s 0s 0s 0s 1s 1s 0s
8.78906e-09 1s 0s 0s 0s 0s 1s 1s 1s
9.76562e-09 1s 0s 0s 0s 0s 1s 1s 1s
1.07422e-08 1s 0s 0s 0s 1s 0s 0s 0s
1.17188e-08 1s 0s 0s 0s 1s 0s 0s 1s
1.26953e-08 1s 0s 0s 0s 1s 0s 1s 0s
1.36719e-08 1s 0s 0s 0s 1s 0s 1s 0s
1.46484e-08 1s 0s 0s 0s 1s 0s 1s 1s
1.5625e-08 1s 0s 0s 0s 1s 1s 0s 0s
1.66016e-08 1s 0s 0s 0s 1s 1s 0s 1s
1.75781e-08 1s 0s 0s 0s 1s 1s 1s 0s
1.85547e-08 1s 0s 0s 0s 1s 1s 1s 0s
1.95312e-08 1s 0s 0s 0s 1s 1s 1s 1s
2.05078e-08 1s 0s 0s 1s 0s 0s 0s 0s
2.14844e-08 1s 0s 0s 1s 0s 0s 0s 1s
2.24609e-08 1s 0s 0s 1s 0s 0s 0s 1s
2.34375e-08 1s 0s 0s 1s 0s 0s 1s 0s
2.44141e-08 1s 0s 0s 1s 0s 0s 1s 1s
2.53906e-08 1s 0s 0s 1s 0s 1s 0s 0s
2.63672e-08 1s 0s 0s 1s 0s 1s 0s 1s
2.73437e-08 1s 0s 0s 1s 0s 1s 0s 1s
2.83203e-08 1s 0s 0s 1s 0s 1s 1s 0s
2.92969e-08 1s 0s 0s 1s 0s 1s 1s 1s
3.02734e-08 1s 0s 0s 1s 1s 0s 0s 0s
3.125e-08 1s 0s 0s 1s 1s 0s 0s 0s
3.22266e-08 1s 0s 0s 1s 1s 0s 0s 1s
3.32031e-08 1s 0s 0s 1s 1s 0s 1s 0s
3.41797e-08 1s 0s 0s 1s 1s 0s 1s 1s
3.51563e-08 1s 0s 0s 1s 1s 0s 1s 1s
3.61328e-08 1s 0s 0s 1s 1s 1s 0s 0s
3.71094e-08 1s 0s 0s 1s 1s 1s 0s 1s
3.80859e-08 1s 0s 0s 1s 1s 1s 1s 0s
3.90625e-08 1s 0s 0s 1s 1s 1s 1s 0s
4.00391e-08 1s 0s 0s 1s 1s 1s 1s 1s
4.10156e-08 1s 0s 1s 0s 0s 0s 0s 0s
4.19922e-08 1s 0s 1s 0s 0s 0s 0s 1s
4.29687e-08 1s 0s 1s 0s 0s 0s 1s 0s
4.39453e-08 1s 0s 1s 0s 0s 0s 1s 0s
4.49219e-08 1s 0s 1s 0s 0s 0s 1s 1s
4.58984e-08 1s 0s 1s 0s 0s 1s 0s 0s
4.6875e-08 1s 0s 1s 0s 0s 1s 0s 1s
4.78516e-08 1s 0s 1s 0s 0s 1s 0s 1s
4.88281e-08 1s 0s 1s 0s 0s 1s 1s 0s
4.98047e-08 1s 0s 1s 0s 0s 1s 1s 1s
5.07812e-08 1s 0s 1s 0s 0s 1s 1s 1s
5.17578e-08 1s 0s 1s 0s 1s 0s 0s 0s
5.27344e-08 1s 0s 1s 0s 1s 0s 0s 1s
5.37109e-08 1s 0s 1s 0s 1s 0s 1s 0s
5.46875e-08 1s 0s 1s 0s 1s 0s 1s 0s
5.56641e-08 1s 0s 1s 0s 1s 0s 1s 1s
5.66406e-08 1s 0s 1s 0s 1s 1s 0s 0s
5.76172e-08 1s 0s 1s 0s 1s 1s 0s 1s
5.85937e-08 1s 0s 1s 0s 1s 1s 0s 1s
5.95703e-08 1s 0s 1s 0s 1s 1s 1s 0s
6.05469e-08 1s 0s 1s 0s 1s 1s 1s 1s
6.15234e-08 1s 0s 1s 1s 0s 0s 0s 0s
6.25e-08 1s 0s 1s 1s 0s 0s 0s 0s
6.34766e-08 1s 0s 1s 1s 0s 0s 0s 1s
6.44531e-08 1s 0s 1s 1s 0s 0s 1s 0s
6.54297e-08 1s 0s 1s 1s 0s 0s 1s 0s
6.64062e-08 1s 0s 1s 1s 0s 0s 1s 1s
6.73828e-08 1s 0s 1s 1s 0s 1s 0s 0s
6.83594e-08 1s 0s 1s 1s 0s 1s 0s 1s
6.93359e-08 1s 0s 1s 1s 0s 1s 0s 1s
7.03125e-08 1s 0s 1s 1s 0s 1s 1s 0s
7.12891e-08 1s 0s 1s 1s 0s 1s 1s 1s
7.22656e-08 1s 0s 1s 1s 0s 1s 1s 1s
7.32422e-08 1s 0s 1s 1s 1s 0s 0s 0s
7.42187e-08 1s 0s 1s 1s 1s 0s 0s 1s
7.51953e-08 1s 0s 1s 1s 1s 0s 1s 0s
7.61719e-08 1s 0s 1s 1s 1s 0s 1s 0s
7.71484e-08 1s 0s 1s 1s 1s 0s 1s 1s
7.8125e-08 1s 0s 1s 1s 1s 1s 0s 0s
7.91016e-08 1s 0s 1s 1s 1s 1s 0s 0s
8.00781e-08 1s 0s 1s 1s 1s 1s 0s 1s
8.10547e-08 1s 0s 1s 1s 1s 1s 1s 0s
8.20312e-08 1s 0s 1s 1s 1s 1s 1s 0s
8.30078e-08 1s 0s 1s 1s 1s 1s 1s 1s
8.39844e-08 1s 1s 0s 0s 0s 0s 0s 0s
8.49609e-08 1s 1s 0s 0s 0s 0s 0s 0s
8.59375e-08 1s 1s 0s 0s 0s 0s 0s 1s
8.69141e-08 1s 1s 0s 0s 0s 0s 1s 0s
8.78906e-08 1s 1s 0s 0s 0s 0s 1s 0s
8.88672e-08 1s 1s 0s 0s 0s 0s 1s 1s
8.98438e-08 1s 1s 0s 0s 0s 1s 0s 0s
9.08203e-08 1s 1s 0s 0s 0s 1s 0s 0s
9.17969e-08 1s 1s 0s 0s 0s 1s 0s 1s
9.27734e-08 1s 1s 0s 0s 0s 1s 1s 0s
9.375e-08 1s 1s 0s 0s 0s 1s 1s 0s
9.47266e-08 1s 1s 0s 0s 0s 1s 1s 1s
9.57031e-08 1s 1s 0s 0s 1s 0s 0s 0s
9.66797e-08 1s 1s 0s 0s 1s 0s 0s 0s
9.76562e-08 1s 1s 0s 0s 1s 0s 0s 1s
9.86328e-08 1s 1s 0s 0s 1s 0s 1s 0s
9.96094e-08 1s 1s 0s 0s 1s 0s 1s 0s
1.00586e-07 1s 1s 0s 0s 1s 0s 1s 1s
1.01562e-07 1s 1s 0s 0s 1s 0s 1s 1s
1.02539e-07 1s 1s 0s 0s 1s 1s 0s 0s
1.03516e-07 1s 1s 0s 0s 1s 1s 0s 1s
1.04492e-07 1s 1s 0s 0s 1s 1s 0s 1s
1.05469e-07 1s 1s 0s 0s 1s 1s 1s 0s
1.06445e-07 1s 1s 0s 0s 1s 1s 1s 1s
1.07422e-07 1s 1s 0s 0s 1s 1s 1s 1s
1.08398e-07 1s 1s 0s 1s 0s 0s 0s 0s
1.09375e-07 1s 1s 0s 1s 0s 0s 0s 0s
1.10352e-07 1s 1s 0s 1s 0s 0s 0s 1s
1.11328e-07 1s 1s 0s 1s 0s 0s 1s 0s
1.12305e-07 1s 1s 0s 1s 0s 0s 1s 0s
1.13281e-07 1s 1s 0s 1s 0s 0s 1s 1s
1.14258e-07 1s 1s 0s 1s 0s 0s 1s 1s
1.15234e-07 1s 1s 0s 1s 0s 1s 0s 0s
1.16211e-07 1s 1s 0s 1s 0s 1s 0s 1s
1.17187e-07 1s 1s 0s 1s 0s 1s 0s 1s
1.18164e-07 1s 1s 0s 1s 0s 1s 1s 0s
1.19141e-07 1s 1s 0s 1s 0s 1s 1s 0s
1.20117e-07 1s 1s 0s 1s 0s 1s 1s 1s
1.21094e-07 1s 1s 0s 1s 0s 1s 1s 1s
1.2207e-07 1s 1s 0s 1s 1s 0s 0s 0s
1.23047e-07 1s 1s 0s 1s 1s 0s 0s 1s
1.24023e-07 1s 1s 0s 1s 1s 0s 0s 1s
1.25e-07 1s 1s 0s 1s 1s 0s 1s 0s
1.25977e-07 1s 1s 0s 1s 1s 0s 1s 0s
1.26953e-07 1s 1s 0s 1s 1s 0s 1s 1s
1.2793e-07 1s 1s 0s 1s 1s 0s 1s 1s
1.28906e-07 1s 1s 0s 1s 1s 1s 0s 0s
1.29883e-07 1s 1s 0s 1s 1s 1s 0s 0s
1.30859e-07 1s 1s 0s 1s 1s 1s 0s 1s
1.31836e-07 1s 1s 0s 1s 1s 1s 0s 1s
1.32812e-07 1s 1s 0s 1s 1s 1s 1s 0s
1.33789e-07 1s 1s 0s 1s 1s 1s 1s 0s
1.34766e-07 1s 1s 0s 1s 1s 1s 1s 1s
1.35742e-07 1s 1s 1s 0s 0s 0s 0s 0s
1.36719e-07 1s 1s 1s 0s 0s 0s 0s 0s
1.37695e-07 1s 1s 1s 0s 0s 0s 0s 1s
1.38672e-07 1s 1s 1s 0s 0s 0s 0s 1s
1.39648e-07 1s 1s 1s 0s 0s 0s 1s 0s
1.40625e-07 1s 1s 1s 0s 0s 0s 1s 0s
1.41602e-07 1s 1s 1s 0s 0s 0s 1s 1s
1.42578e-07 1s 1s 1s 0s 0s 0s 1s 1s
1.43555e-07 1s 1s 1s 0s 0s 1s 0s 0s
1.44531e-07 1s 1s 1s 0s 0s 1s 0s 0s
1.45508e-07 1s 1s 1s 0s 0s 1s 0s 0s
1.46484e-07 1s 1s 1s 0s 0s 1s 0s 1s
1.47461e-07 1s 1s 1s 0s 0s 1s 0s 1s
1.48437e-07 1s 1s 1s 0s 0s 1s 1s 0s
1.49414e-07 1s 1s 1s 0s 0s 1s 1s 0s
1.50391e-07 1s 1s 1s 0s 0s 1s 1s 1s
1.51367e-07 1s 1s 1s 0s 0s 1s 1s 1s
1.52344e-07 1s 1s 1s 0s 1s 0s 0s 0s
1.5332e-07 1s 1s 1s 0s 1s 0s 0s 0s
1.54297e-07 1s 1s 1s 0s 1s 0s 0s 1s
1.55273e-07 1s 1s 1s 0s 1s 0s 0s 1s
1.5625e-07 1s 1s 1s 0s 1s 0s 1s 0s
1.57227e-07 1s 1s 1s 0s 1s 0s 1s 0s
1.58203e-07 1s 1s 1s 0s 1s 0s 1s 0s
1.5918e-07 1s 1s 1s 0s 1s 0s 1s 1s
1.60156e-07 1s 1s 1s 0s 1s 0s 1s 1s
1.61133e-07 1s 1s 1s 0s 1s 1s 0s 0s
1.62109e-07 1s 1s 1s 0s 1s 1s 0s 0s
1.63086e-07 1s 1s 1s 0s 1s 1s 0s 0s
1.64062e-07 1s 1s 1s 0s 1s 1s 0s 1s
1.65039e-07 1s 1s 1s 0s 1s 1s 0s 1s
1.66016e-07 1s 1s 1s 0s 1s 1s 1s 0s
1.66992e-07 1s 1s 1s 0s 1s 1s 1s 0s
1.67969e-07 1s 1s 1s 0s 1s 1s 1s 0s
1.68945e-07 1s 1s 1s 0s 1s 1s 1s 1s
1.69922e-07 1s 1s 1s 0s 1s 1s 1s 1s
1.70898e-07 1s 1s 1s 1s 0s 0s 0s 0s
1.71875e-07 1s 1s 1s 1s 0s 0s 0s 0s
1.72852e-07 1s 1s 1s 1s 0s 0s 0s 0s
1.73828e-07 1s 1s 1s 1s 0s 0s 0s 1s
1.74805e-07 1s 1s 1s 1s 0s 0s 0s 1s
1.75781e-07 1s 1s 1s 1s 0s 0s 0s 1s
1.76758e-07 1s 1s 1s 1s 0s 0s 1s 0s
1.77734e-07 1s 1s 1s 1s 0s 0s 1s 0s
1.78711e-07 1s 1s 1s 1s 0s 0s 1s 0s
1.79688e-07 1s 1s 1s 1s 0s 0s 1s 1s
