* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
0 1s 0s 0s 0s 0s 0s 0s 0s
3.25521e-10 1s 0s 0s 0s 0s 0s 0s 0s
6.51042e-10 1s 0s 0s 0s 0s 0s 0s 1s
9.76563e-10 1s 0s 0s 0s 0s 0s 1s 0s
1.30208e-09 1s 0s 0s 0s 0s 0s 1s 1s
1.6276e-09 1s 0s 0s 0s 0s 0s 1s 1s
1.95313e-09 1s 0s 0s 0s 0s 1s 0s 0s
2.27865e-09 1s 0s 0s 0s 0s 1s 0s 1s
2.60417e-09 1s 0s 0s 0s 0s 1s 1s 0s
2.92969e-09 1s 0s 0s 0s 0s 1s 1s 1s
3.25521e-09 1s 0s 0s 0s 0s 1s 1s 1s
3.58073e-09 1s 0s 0s 0s 1s 0s 0s 0s
3.90625e-09 1s 0s 0s 0s 1s 0s 0s 1s
4.23177e-09 1s 0s 0s 0s 1s 0s 1s 0s
4.55729e-09 1s 0s 0s 0s 1s 0s 1s 0s
4.88281e-09 1s 0s 0s 0s 1s 0s 1s 1s
5.20833e-09 1s 0s 0s 0s 1s 1s 0s 0s
5.53385e-09 1s 0s 0s 0s 1s 1s 0s 1s
5.85938e-09 1s 0s 0s 0s 1s 1s 1s 0s
6.1849e-09 1s 0s 0s 0s 1s 1s 1s 0s
6.51042e-09 1s 0s 0s 0s 1s 1s 1s 1s
6.83594e-09 1s 0s 0s 1s 0s 0s 0s 0s
7.16146e-09 1s 0s 0s 1s 0s 0s 0s 1s
7.48698e-09 1s 0s 0s 1s 0s 0s 0s 1s
7.8125e-09 1s 0s 0s 1s 0s 0s 1s 0s
8.13802e-09 1s 0s 0s 1s 0s 0s 1s 1s
8.46354e-09 1s 0s 0s 1s 0s 1s 0s 0s
8.78906e-09 1s 0s 0s 1s 0s 1s 0s 1s
9.11458e-09 1s 0s 0s 1s 0s 1s 0s 1s
9.4401e-09 1s 0s 0s 1s 0s 1s 1s 0s
9.76563e-09 1s 0s 0s 1s 0s 1s 1s 1s
1.00911e-08 1s 0s 0s 1s 1s 0s 0s 0s
1.04167e-08 1s 0s 0s 1s 1s 0s 0s 0s
1.07422e-08 1s 0s 0s 1s 1s 0s 0s 1s
1.10677e-08 1s 0s 0s 1s 1s 0s 1s 0s
1.13932e-08 1s 0s 0s 1s 1s 0s 1s 1s
1.17188e-08 1s 0s 0s 1s 1s 0s 1s 1s
1.20443e-08 1s 0s 0s 1s 1s 1s 0s 0s
1.23698e-08 1s 0s 0s 1s 1s 1s 0s 1s
1.26953e-08 1s 0s 0s 1s 1s 1s 1s 0s
1.30208e-08 1s 0s 0s 1s 1s 1s 1s 0s
1.33464e-08 1s 0s 0s 1s 1s 1s 1s 1s
1.36719e-08 1s 0s 1s 0s 0s 0s 0s 0s
1.39974e-08 1s 0s 1s 0s 0s 0s 0s 1s
1.43229e-08 1s 0s 1s 0s 0s 0s 1s 0s
1.46484e-08 1s 0s 1s 0s 0s 0s 1s 0s
1.4974e-08 1s 0s 1s 0s 0s 0s 1s 1s
1.52995e-08 1s 0s 1s 0s 0s 1s 0s 0s
1.5625e-08 1s 0s 1s 0s 0s 1s 0s 1s
1.59505e-08 1s 0s 1s 0s 0s 1s 0s 1s
1.6276e-08 1s 0s 1s 0s 0s 1s 1s 0s
1.66016e-08 1s 0s 1s 0s 0s 1s 1s 1s
1.69271e-08 1s 0s 1s 0s 0s 1s 1s 1s
1.72526e-08 1s 0s 1s 0s 1s 0s 0s 0s
1.75781e-08 1s 0s 1s 0s 1s 0s 0s 1s
1.79036e-08 1s 0s 1s 0s 1s 0s 1s 0s
1.82292e-08 1s 0s 1s 0s 1s 0s 1s 0s
1.85547e-08 1s 0s 1s 0s 1s 0s 1s 1s
1.88802e-08 1s 0s 1s 0s 1s 1s 0s 0s
1.92057e-08 1s 0s 1s 0s 1s 1s 0s 1s
1.95313e-08 1s 0s 1s 0s 1s 1s 0s 1s
1.98568e-08 1s 0s 1s 0s 1s 1s 1s 0s
2.01823e-08 1s 0s 1s 0s 1s 1s 1s 1s
2.05078e-08 1s 0s 1s 1s 0s 0s 0s 0s
2.08333e-08 1s 0s 1s 1s 0s 0s 0s 0s
2.11589e-08 1s 0s 1s 1s 0s 0s 0s 1s
2.14844e-08 1s 0s 1s 1s 0s 0s 1s 0s
2.18099e-08 1s 0s 1s 1s 0s 0s 1s 0s
2.21354e-08 1s 0s 1s 1s 0s 0s 1s 1s
2.24609e-08 1s 0s 1s 1s 0s 1s 0s 0s
2.27865e-08 1s 0s 1s 1s 0s 1s 0s 1s
2.3112e-08 1s 0s 1s 1s 0s 1s 0s 1s
2.34375e-08 1s 0s 1s 1s 0s 1s 1s 0s
2.3763e-08 1s 0s 1s 1s 0s 1s 1s 1s
2.40885e-08 1s 0s 1s 1s 0s 1s 1s 1s
2.44141e-08 1s 0s 1s 1s 1s 0s 0s 0s
