* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
4.83398e-08 1s 1s 0s 0s 1s 0s 0s 0s
4.88281e-08 1s 1s 0s 0s 1s 0s 0s 1s
4.93164e-08 1s 1s 0s 0s 1s 0s 1s 0s
4.98047e-08 1s 1s 0s 0s 1s 0s 1s 0s
5.0293e-08 1s 1s 0s 0s 1s 0s 1s 1s
5.07812e-08 1s 1s 0s 0s 1s 0s 1s 1s
5.12695e-08 1s 1s 0s 0s 1s 1s 0s 0s
5.17578e-08 1s 1s 0s 0s 1s 1s 0s 1s
5.22461e-08 1s 1s 0s 0s 1s 1s 0s 1s
5.27344e-08 1s 1s 0s 0s 1s 1s 1s 0s
5.32227e-08 1s 1s 0s 0s 1s 1s 1s 1s
5.37109e-08 1s 1s 0s 0s 1s 1s 1s 1s
5.41992e-08 1s 1s 0s 1s 0s 0s 0s 0s
5.46875e-08 1s 1s 0s 1s 0s 0s 0s 0s
5.51758e-08 1s 1s 0s 1s 0s 0s 0s 1s
5.56641e-08 1s 1s 0s 1s 0s 0s 1s 0s
5.61523e-08 1s 1s 0s 1s 0s 0s 1s 0s
5.66406e-08 1s 1s 0s 1s 0s 0s 1s 1s
5.71289e-08 1s 1s 0s 1s 0s 0s 1s 1s
5.76172e-08 1s 1s 0s 1s 0s 1s 0s 0s
5.81055e-08 1s 1s 0s 1s 0s 1s 0s 1s
5.85937e-08 1s 1s 0s 1s 0s 1s 0s 1s
5.9082e-08 1s 1s 0s 1s 0s 1s 1s 0s
5.95703e-08 1s 1s 0s 1s 0s 1s 1s 0s
6.00586e-08 1s 1s 0s 1s 0s 1s 1s 1s
6.05469e-08 1s 1s 0s 1s 0s 1s 1s 1s
6.10352e-08 1s 1s 0s 1s 1s 0s 0s 0s
6.15234e-08 1s 1s 0s 1s 1s 0s 0s 1s
6.20117e-08 1s 1s 0s 1s 1s 0s 0s 1s
6.25e-08 1s 1s 0s 1s 1s 0s 1s 0s
6.29883e-08 1s 1s 0s 1s 1s 0s 1s 0s
6.34766e-08 1s 1s 0s 1s 1s 0s 1s 1s
6.39648e-08 1s 1s 0s 1s 1s 0s 1s 1s
6.44531e-08 1s 1s 0s 1s 1s 1s 0s 0s
6.49414e-08 1s 1s 0s 1s 1s 1s 0s 0s
6.54297e-08 1s 1s 0s 1s 1s 1s 0s 1s
6.5918e-08 1s 1s 0s 1s 1s 1s 0s 1s
6.64062e-08 1s 1s 0s 1s 1s 1s 1s 0s
6.68945e-08 1s 1s 0s 1s 1s 1s 1s 0s
6.73828e-08 1s 1s 0s 1s 1s 1s 1s 1s
6.78711e-08 1s 1s 1s 0s 0s 0s 0s 0s
6.83594e-08 1s 1s 1s 0s 0s 0s 0s 0s
6.88477e-08 1s 1s 1s 0s 0s 0s 0s 1s
6.93359e-08 1s 1s 1s 0s 0s 0s 0s 1s
6.98242e-08 1s 1s 1s 0s 0s 0s 1s 0s
7.03125e-08 1s 1s 1s 0s 0s 0s 1s 0s
7.08008e-08 1s 1s 1s 0s 0s 0s 1s 1s
7.12891e-08 1s 1s 1s 0s 0s 0s 1s 1s
7.17773e-08 1s 1s 1s 0s 0s 1s 0s 0s
7.22656e-08 1s 1s 1s 0s 0s 1s 0s 0s
7.27539e-08 1s 1s 1s 0s 0s 1s 0s 0s
7.32422e-08 1s 1s 1s 0s 0s 1s 0s 1s
7.37305e-08 1s 1s 1s 0s 0s 1s 0s 1s
7.42187e-08 1s 1s 1s 0s 0s 1s 1s 0s
7.4707e-08 1s 1s 1s 0s 0s 1s 1s 0s
7.51953e-08 1s 1s 1s 0s 0s 1s 1s 1s
